Branch,barcode,Product Category,Name,Unit of Measure,May,quantity,Rate,Amount,Zero Check,KIT items,Actual ID,conversion,Actual Qty
Badar,8936069878125,Tea & Coffee, Bon Aroma - Classic Sachet (2g),Units,3,3,21.43,64.29,6,#N/A,#N/A,#N/A,#N/A
Badar,3145,Pantry, Bone Broth Pk - Beef Bone Broth (330ml) ,Units,2,1,1760,1760,3,#N/A,#N/A,#N/A,#N/A
Badar,5352101422614,Pantry, Foster Clark's - Caramel Topping (71g),Units,0,0,264,0,0,#N/A,#N/A,#N/A,#N/A
Badar,5352101719813,Pantry, Foster Clark's - Custard Powder (300g),Units,2,0,440,0,2,#N/A,#N/A,#N/A,#N/A
Badar,3422,Fruits, Francisi Apricot Loose,kg,0,0,227,0,0,#N/A,#N/A,#N/A,#N/A
Badar,743434007213,Chocolates, Lindt - Dark Chocolate Bar 70% Cocoa (35g),Units,0,0,631.36,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3473,Dates, Medjool Small (1kg) ,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1724,Pantry,12 Packet Premium Chicki (332g),Units,2,14,762.71,10677.94,16,#N/A,#N/A,#N/A,#N/A
Badar,2002,Packaging,14x20cm Brown,Units,0,0,16.13,0,0,#N/A,#N/A,#N/A,#N/A
Badar,003445,Packaging,200 Fruit Basket & Packaging,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,8718104918467,Beverages,3 Horses - Malt Beverage Non Alcoholic (330ml),Units,4,0,342.76,0,4,#N/A,#N/A,#N/A,#N/A
Badar,0012359,Packaging,3 Long Partition,Units,0,0,40,0,0,#N/A,#N/A,#N/A,#N/A
Badar,00557,Packaging,3 Partition Tray,Units,0,0,175,0,0,#N/A,#N/A,#N/A,#N/A
Badar,00433,Packaging,300 Fruit Basket & Packaging,Units,0,0,42.86,0,0,#N/A,#N/A,#N/A,#N/A
Badar,0655498019562,Pantry,365 - Biscuit Spread (200g),Units,0,0,721.83,0,0,#N/A,#N/A,#N/A,#N/A
Badar,0655498019579,Pantry,365 - Caramel Toffee Cream Spread (200g),Units,0,0,721.83,0,0,#N/A,#N/A,#N/A,#N/A
Badar,0655498019524,Pantry,365 - Cheesecake Spread (200g),Units,0,0,680,0,0,#N/A,#N/A,#N/A,#N/A
Badar,6554980195484,Pantry,365 - Coconut Spread (200g),Units,0,0,721.83,0,0,#N/A,#N/A,#N/A,#N/A
Badar,0655498019555,Pantry,365 - Cookies & Cream Spread (200g),Units,0,0,721.83,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1370,Packaging,4 Partition Tray (L),Units,0,0,450,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1369,Packaging,4 Partition Tray (M),Units,0,0,400,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1368,Packaging,4 Partition Tray (S),Units,0,0,350,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1371,Packaging,4 Partition Tray (XL),Units,0,0,500,0,0,#N/A,#N/A,#N/A,#N/A
Badar,00558,Packaging,4 Partition Tray (XS),Units,0,0,300,0,0,#N/A,#N/A,#N/A,#N/A
Badar,00435,Packaging,400 Fruit Basket & Packaging,Units,0,0,170,0,0,#N/A,#N/A,#N/A,#N/A
Badar,00526,Packaging,500 Fruit Basket & Packaging,Units,0,0,175,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1723,Pantry,6 Packet Premium Chicki (200g),Units,5,6,1016.95,6101.7,11,#N/A,#N/A,#N/A,#N/A
Badar,202,Packaging,600 Fruit Basket & Packaging,Units,0,0,300,0,0,#N/A,#N/A,#N/A,#N/A
Badar,9876543218,Packaging,7Kg Mango Box (Empty),Units,0,0,320,0,0,#N/A,#N/A,#N/A,#N/A
Badar,711844115026,Pantry,ABC - Salted Soy Sauce (600ml),Units,2,0,1450,0,2,#N/A,#N/A,#N/A,#N/A
Badar,711844110038,Pantry,ABC - Sweet Soy Sauce (600ml),Units,1,0,1950,0,1,#N/A,#N/A,#N/A,#N/A
Badar,6291038710595,Frozen,AL Rawdah - Fresh Chicken Mortadella(200gm),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2420,Dry Fruits,Abajapati Goli 150g,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2419,Dry Fruits,Abajapati Goli Loose,kg,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
